날짜: 24-08-08-16-45-04, 상태: 관리자가 대출, 사용자: 우성, 태블릿: 1
날짜: 24-08-08-16-49-29, 상태: 관리자가 반납, 사용자: none, 태블릿: 1
날짜: 24-08-08-16-50-17, 상태: 대출, 사용자: 우성, 태블릿: 1
날짜: 24-08-08-16-50-17, 상태: 대출, 사용자: 우성, 태블릿: 2
날짜: 24-08-08-16-50-17, 상태: 대출, 사용자: 우성, 태블릿: 3
날짜: 24-08-08-16-50-17, 상태: 대출, 사용자: 우성, 태블릿: 4
날짜: 24-08-08-16-50-17, 상태: 대출, 사용자: 우성, 태블릿: 5
날짜: 24-08-08-16-50-43, 상태: 반납, 사용자: 우성, 태블릿: 1
날짜: 24-08-08-16-50-43, 상태: 반납, 사용자: 우성, 태블릿: 2
날짜: 24-08-08-16-50-43, 상태: 반납, 사용자: 우성, 태블릿: 3
날짜: 24-08-08-16-50-43, 상태: 반납, 사용자: 우성, 태블릿: 4
날짜: 24-08-08-16-50-43, 상태: 반납, 사용자: 우성, 태블릿: 5
날짜: 24-08-08-16-54-10, 상태: 관리자가 대출, 사용자: 우성, 태블릿: 1
날짜: 24-08-08-17-06-01, 상태: 반납, 사용자: 우성, 태블릿: 1
날짜: 24-08-12-14-14-40, 상태: 대출, 사용자: 우성, 태블릿: 1
날짜: 24-08-12-14-14-50, 상태: 대출, 사용자: 우성, 태블릿: 2
날짜: 24-08-12-14-15-11, 상태: 대출, 사용자: 우성, 태블릿: 3
날짜: 24-08-12-14-19-29, 상태: 반납, 사용자: 우성, 태블릿: 1
날짜: 24-08-12-14-19-51, 상태: 대출, 사용자: 우성, 태블릿: 4
날짜: 24-08-12-14-19-51, 상태: 대출, 사용자: 우성, 태블릿: 5
날짜: 24-08-12-14-52-59, 상태: 대출, 사용자: 김형준, 태블릿: 117
날짜: 24-08-12-14-52-59, 상태: 대출, 사용자: 김형준, 태블릿: 118
날짜: 24-08-12-14-52-59, 상태: 대출, 사용자: 김형준, 태블릿: 119
날짜: 24-08-12-14-52-59, 상태: 대출, 사용자: 김형준, 태블릿: 120
날짜: 24-08-13-00-34-24, 상태: 대출, 사용자: 우성, 태블릿: 1
